ngram_range,min_df,cv_folds,true_label,pred_label,text
"(1, 1)",5.0,10,1,0,"I was very unsatisfied with my stay at the Allegro. The front desk clerk seemed very put out when we walked up to her window. After giving her our confirmation number she let us know that our rooms were not ready yet. This came as a surprise to me since we arrived late in the day and check in had already began. After waiting an hour to check in we were not able to get the room features that we had requested. We were informed that they were ""only requests"" and not a guarantee. Room service was also very slow and appeared to be understaffed. When we finally got someone to answer the phone they were out of most everything we wanted. The food took an eternity to reach the room and the order wasn't exactly right either. This is not the kind of service I expected from an upscale hotel."
"(1, 1)",5.0,10,1,0,"Though grand and having a brand, this hotel seems to disappoint me on certain fronts. 1. Staff seemed snooty and arrogant. 2. Request for upgrade was fulfilled only after repetitive requests.The initial room was very small. 3. for the cost paid I would expect a coffee maker, free internet service at the least which even regular B&Bs offer. 4.They will levy charges on each and everything.Complete rip off Other things matched the Grandeur.Cleanliness and location was good, but the staff made my stay unpleasant."
"(1, 1)",5.0,10,1,0,"Oh My! More Like A Dank Museum Than A Four Star Hotel! I read so many reviews on this hotel that I was sure my husband and I wouldn't be disappointed on spending our 10th Wedding Anniversary in the heart of Chicago at such a luxurious hotel! All the reviews sounded great so I feel awkward writing this, but I have to be fair - this place was a major disappointment. While the location is superb, the images online must have been taken over 10 years ago because all of the decor when we visited looked very old and faded. I noticed dirt everywhere - the fabric on the furniture was stained, the baseboards and woodwork were scratched and dirty and there seemed to be a smell of mold and mildew that permeated the entire hotel. Even though the food was great, the linens, glassware and silverware were not sparkling - it sort of helped that candles were lit so I didn't focus too much on how dreary and washed out the dining facility was. I didn't realize experiencing history would actually mean staying at a hotel that's living in the past! This was barely a two star hotel and I do not recommend staying here at all."
"(1, 1)",5.0,10,1,0,"A decent place to stay. The people are nice enough, yet the atmosphere was not what I was expecting. The rooms were not very spacious, nor welcoming. So many places to eat, yet the food was very pricey and average. I would stay here again possibly, but I feel like I could find a better option for a better price."
"(1, 1)",5.0,10,0,1,"I stayed at Palmer House for one night in early January this year. During the check in, the front desk lady asked me to show my confirmation letter of my reservation. I did not bring the confirmation with me because I had not been asked to present it in other places during check in.So she asked to print out one copy in their business center and bring the confirmation to the bell station to get the room key. I did what she told me and went to the bell station. However, people at the bell station was totally confused and none of them have the key. A bellman was nice enough to help me go ask their staff at the front desk. I finally got checked in after waiting at the lobby for about 15 minutes. As other people pointed out before, the room I got was small and old with a twin bed, and I could hear people next door using the bathroom. This was not a pleasant experience, even though I paid over 100 dollars to the hotel."
"(1, 1)",5.0,10,0,1,"Me and my husband stayed in the Allegro Hotel Chicago for 4 days 3 nights recently. We got a room with a king size bed.. Although the room is small, we got no problems with that as there was enough space for our luggages & all. However, we felt that the bed is not exactly comfortable, the bed sheets kinda feel rough to us. The walls are really thin and we could hear our neighbours talking and occasionally the flushing sound. 1 of the days, our room was not cleaned till afternoon and so we went to check with the front desk and was told that we got to request for our room to be cleaned which was a shock to us as we thought that like all hotels, rooms are cleaned except when you put on the no disturb sign. The worst is upon returning to the hotel at night, we found a bag of our garbage in the room and it was right next to our luggage. The housekeeping people must have forgotten to take it out after cleaning our bins. This is unacceptable to us. The hotel is in the theatre district and it is rather quiet at night. Although it is near the CTA trains, i would rec one to stay somewhere close to the magnificent mile where its lively at night or hotels near the chicago river so that you can get a great view. Am staying again at a Kimpton hotel in San Fran next month and i am contemplating if i should change! Overall, not a good experience and i wouldnt choose this hotel again if i were to head to Chicago again!"
"(1, 1)",5.0,10,0,1,"We were at the Hotel Allegro for an Industry Analyst event. I could not have expected worse. At first glance, you figured it couldn't be too bad as a Kimpton. The unfortunate issue - service and the people were excellent. However, the rooms just sucked. Imagine your normal hotel room and 1/3 that size. Cramp in a king size bed and add a bathroom that's also 1/3 the size. The building has that old hotel smell where things are musky but covered up with some paint smell. The bathroom has showers with modern fixtures but remind you of that nyc studio you rented with 5 other people out of college. The paints peeling on the base boards, the carpet is new, but something is wrong. I would stay at the Marriott, Renaissance, Westin, or any where else."
"(1, 1)",5.0,10,0,1,"My stay at the Amalfi was a very brief one. I booked the hotel based on all of the glowing reviews I saw here on Trip Advisor. When I arrived, I sat down at a desk with an amazingly aloof clerk. I felt like I stepped into an episode of the Twilight Zone. The room was very small and dark. Then the Internet wasn't working. I wasn't informed about this on my check in and couldn't be given a time frame when it would be back up. I walked the neighborhood and found another hotel more to my liking, gathered up my belongings and went there. If you're one of those people who likes trendy upscale and chi chi locations and hotels, you'll lurve this place. But if you like a hotel with lights on, working internet and a good view and real breakfast, go someplace else."
"(1, 1)",5.0,10,0,1,"We stayed in the Amalfi in July 2010, 4th of July weekend. I was very apprehensive about leaving my Diesel Ford Excursion with the valet at Amalfi. It has a few modifications to the engine and can be damaged if not operated correctly. I explained the procedure to the valet drivers, and felt like it was a complete waste of time. When the vehicle was returned to me the valet driver did not let it idle down and cool the turbo off as I had instructed. When I tried to start it, it wasn't happy, but did finally start. I was so relieved to get it back I just wanted to leave. Driving away I noticed that the top speed recorded on the GPS was 105mph!!! (previous top speed was 95mph, done a few days earlier driving across South Dakota). I could just picture the flying Ferrari scene in Ferris Bueller's Day Off. I couldn't imagine where in the crowded Chicago traffic they found a place to go that fast, though it wouldn't take long to make that happen (see reference to modified engine above). A little while later we stopped for lunch and I noticed a dent in the front bumper. I contacted the hotel and was referred to their claims people. No remedy. Lesson learned. Brett"
"(1, 1)",5.0,10,0,1,"Arrived at 1:30am only to find that sleep was not in my future because of the dance club connected to the hotel. If you party and stay out all night anyway, this hotel would be fine. But don't plan to get any rest if the club is open! Front desk lady was extremely rude to people calling in to inquire about the hotel while I was checking in. She was fine with me and gave me a corner room, but sure wouldn't want to be on her bad side."
"(1, 1)",5.0,10,0,1,"We were checked into a room with empty beer bottles, dirty underwear in the closet and unclean bathroom. There was no manager available for an hour to take any complaints. We missed our show because of the extra time it took in moving into another room etc. Finally when I got to talk to the manager and complained about beer bottles especially when I had a child and a teenager with me she offered to send me wine and cheese to make up for the inconvenience!!! Staff was somewhat reluctant to take request of extra blankets at night. They kept telling me to look into the closet for extra blankets. I asked for two blanket , but they delivered one. I had to keep calling to get settled. I saw a comment form from the prior guest in our room on the study desk, who had taken the trouble of filling it out, but no one collected it or cared for it. ht. Noisy rooms. Can hear the doors all night. Thebreakfast items kept running out and had to make calls to get them replenished. I will not recommend this hotel to any one even at discounted rates!!"
"(1, 1)",5.0,10,0,1,"Stayed at the Amalfi hotel in Chicago this month with good expectations. And what a disappointment! Paid just under $200 for a ""deluxe king"", and what we got was a 2nd floor view of construction, a dirty, badly ""rehabbed"" bathroom, itchy sheets, no down comforter!! (just sheets and the gross old hotel blanket thing) , previously opened bottles in our mini bar, and plenty of rude, inexperienced staff members & managers (def. not a 3 or 4 star staffing!!) I do live in Chicago, and have stayed at a wide range of places. I know that for $200 in February, you can expect a great hotel. As there were many available the weekend we stayed at Amalfi, choosing it over say, the Palmer House Hilton, Hotel Sax, Sutton Place, Hotel 71, was a huge waste. Definitely keep looking and book elsewhere. Not worth the price at all, don't let their pictures fool you. Also, I wouldn't say that our experience was just a rare mishap, the hotel looks like an old Days Inn that had undergone a slight renvation, i.e., new lamps."
"(1, 1)",5.0,10,0,1,Used this hotel the first time I was in Chicago. For the prices and for being classified an intercontinental...I wouldn't consider it that good. The rooms were solid. The view was ok (but so is it virtually everywhere else on Michigan Ave.) The service was ok. The prices were ridiculous for everything from wifi to well everything else. We came here for a Jewish/Hindi wedding. Appetizer was fine. Main entree was a small portion of meat with forgettable everything else. Dessert was inedible. I have been to some other expensive hotels with similar ratings but they had more or just better rooms to an extent that it would be worth it. I personally preferred the Conrad. Better prices and better service.
