ngram_range,min_df,true_label,pred_label,text
"(1, 2)",0.0,0,1,"Stayed here in November 2011 on a leisure trip to Chicago. Hotel is very dated, with some rooms that just aren't good enough. Front desk staff was rude. Will not be staying here again - prefer the Swissotel and the Hyatt properties (Regency is similarly priced, and Park Hyatt is 3x more) and a list of boutique hotels in the area as well (Kimpton, etc). Pros: -The only hotel that opens onto Michigan Avenue, very close to all of the excitement -Eno Wine Bar has a great selection of cheeses -Rooms are clean Cons: -Some hotel rooms just make no sense - our first room was tiny and had a window overlooking a ledge (effectively no view), and our second room had two windows that looked out onto a brick wall (actually no view) -You have to pay for everything - internet, gym, and the pool (which was not available due to renovation...) -Entire hotel was very old, not in a classical sense but in a ghost story one -Front desk staff was rude"
"(1, 2)",0.0,0,1,"First of all, Expedia.com charged me for an additional person per my instructions but when I arrived at the Hotel these monies were not included and the complimentary breakfast was not offered. The Hotel service person who checked us in forgot to give me back my parking ticket but left a generic message for me stating that there was an envelope at the front desk. I had to wait in line for another 20 minutes to discover this the whole time this person was looking at me and never said a word!! I was charged and paid for parking adjacent to the Hotel. When we went to leave the gate would not open. We had to find the parking garage office and the Manager had to call several times over to the Hotel until finally someone picked up. They confirmed my payment and then we were allowed to leave the structure. The Hotel itself is beautiful!!! The bell hops and doormen were just wonderful. They were more than helpful and gracious but the internal staff were rude and not helpful at all!!!!"
"(1, 2)",0.0,0,1,"I stayed at Palmer House for one night in early January this year. During the check in, the front desk lady asked me to show my confirmation letter of my reservation. I did not bring the confirmation with me because I had not been asked to present it in other places during check in.So she asked to print out one copy in their business center and bring the confirmation to the bell station to get the room key. I did what she told me and went to the bell station. However, people at the bell station was totally confused and none of them have the key. A bellman was nice enough to help me go ask their staff at the front desk. I finally got checked in after waiting at the lobby for about 15 minutes. As other people pointed out before, the room I got was small and old with a twin bed, and I could hear people next door using the bathroom. This was not a pleasant experience, even though I paid over 100 dollars to the hotel."
"(1, 2)",0.0,0,1,"Me and my husband stayed in the Allegro Hotel Chicago for 4 days 3 nights recently. We got a room with a king size bed.. Although the room is small, we got no problems with that as there was enough space for our luggages & all. However, we felt that the bed is not exactly comfortable, the bed sheets kinda feel rough to us. The walls are really thin and we could hear our neighbours talking and occasionally the flushing sound. 1 of the days, our room was not cleaned till afternoon and so we went to check with the front desk and was told that we got to request for our room to be cleaned which was a shock to us as we thought that like all hotels, rooms are cleaned except when you put on the no disturb sign. The worst is upon returning to the hotel at night, we found a bag of our garbage in the room and it was right next to our luggage. The housekeeping people must have forgotten to take it out after cleaning our bins. This is unacceptable to us. The hotel is in the theatre district and it is rather quiet at night. Although it is near the CTA trains, i would rec one to stay somewhere close to the magnificent mile where its lively at night or hotels near the chicago river so that you can get a great view. Am staying again at a Kimpton hotel in San Fran next month and i am contemplating if i should change! Overall, not a good experience and i wouldnt choose this hotel again if i were to head to Chicago again!"
"(1, 2)",0.0,0,1,"My stay at the Amalfi was a very brief one. I booked the hotel based on all of the glowing reviews I saw here on Trip Advisor. When I arrived, I sat down at a desk with an amazingly aloof clerk. I felt like I stepped into an episode of the Twilight Zone. The room was very small and dark. Then the Internet wasn't working. I wasn't informed about this on my check in and couldn't be given a time frame when it would be back up. I walked the neighborhood and found another hotel more to my liking, gathered up my belongings and went there. If you're one of those people who likes trendy upscale and chi chi locations and hotels, you'll lurve this place. But if you like a hotel with lights on, working internet and a good view and real breakfast, go someplace else."
"(1, 2)",0.0,0,1,"Stayed in old tower. Room was nice and room service was very good. Room Wi-Fi was expensive as was the bottled water. For the price of the room, at least there should at least have been water. I would rate the value as sub-par. The restaurant menu was not great, food mediocre by comparison to other downtown Chicago restaurants and the service was below average especially since there were only three tables in use in the entire restaurant.. In summary, I will go to the M... or H... next time. Some of the above comments are based on a previous week resort stay on the outer banks of North Carolina and earlier this year in Northern California. P.S. If you are a fitness room user, the $16 per stay per person is a good deal at this hotel."
"(1, 2)",0.0,0,1,"Arrived at 1:30am only to find that sleep was not in my future because of the dance club connected to the hotel. If you party and stay out all night anyway, this hotel would be fine. But don't plan to get any rest if the club is open! Front desk lady was extremely rude to people calling in to inquire about the hotel while I was checking in. She was fine with me and gave me a corner room, but sure wouldn't want to be on her bad side."
"(1, 2)",0.0,0,1,"The location was good. Check-in was ok. Asked for non smoking room, given floor with half smoking half non smoking. We could smell the smoke as soon as the elevator doors opened. We asked for and recieved a room on a non-smoking floor. They did not bring up the key, we had to go down to the lobby to get it. Breakfast could have had some healthy choices, the sweet rolls and danish were not fresh. Bananas not ripe. Room only had ONE wash cloth, had to call down for more. Housekeeping NEVER showed up at our room. Not for turndown service , not for the morning clean -up. Called down upon our arrival back to our room after being gone all day and we were accused of putting our the Do Not Disturb sign. They said they would come up and they never came when they said they would. We finally told them not to come because of the time. We wanted to get ready to go out for dinner. Never greeted by anyone as we came and went. I have stayed at the Peninsula and the Burnham. The Burnham was booked during our stay or I would have stayed there.I will NEVER stay at this hotel again, Not worth 300.00 a night"
"(1, 2)",0.0,0,1,"The room itself was fine and comfortable(very peaceful), but the customer service by the so-called, concierge or ""experience something or the others"" left much to be desired. First, I arrived and the doorman walked me to the desk. I was not greeted with the usual ""Hello, welcome to..."". Instead, I got, ""Your name? ID?"" No, ""hello"", no ""welcome to the Amalfi Hotel,"" just plain old poor customer service from the very beginning! That left a very bad taste in my mouth, but I decided to let it go and see how the rest of my stay was."
"(1, 2)",0.0,0,1,"Stayed at the Amalfi hotel in Chicago this month with good expectations. And what a disappointment! Paid just under $200 for a ""deluxe king"", and what we got was a 2nd floor view of construction, a dirty, badly ""rehabbed"" bathroom, itchy sheets, no down comforter!! (just sheets and the gross old hotel blanket thing) , previously opened bottles in our mini bar, and plenty of rude, inexperienced staff members & managers (def. not a 3 or 4 star staffing!!) I do live in Chicago, and have stayed at a wide range of places. I know that for $200 in February, you can expect a great hotel. As there were many available the weekend we stayed at Amalfi, choosing it over say, the Palmer House Hilton, Hotel Sax, Sutton Place, Hotel 71, was a huge waste. Definitely keep looking and book elsewhere. Not worth the price at all, don't let their pictures fool you. Also, I wouldn't say that our experience was just a rare mishap, the hotel looks like an old Days Inn that had undergone a slight renvation, i.e., new lamps."
"(1, 2)",0.0,0,1,"I'm a frequent business traveler and often in Chicago on trips. At times, it's very difficult to even find a hotel in downtown Chicago, and this was one of those times. I recently had to pay almost $400 for one night at the Allegro. It was absolutely not worth it. The hotel was filled to capacity with conventioneers, so check-in and check-out were very slow. There were very few elevators, which were worked beyond capacity with all the guests. The morning I checked out, our elevator stopped at every single floor from the 16th floor down to the lobby, but the elevator was almost completely full when I got on at the 18th floor, so I can only imagine how long it must have taken other guests to get downstairs. The room was extremely small and cramped, even though it had obviously been renovated recently. The TV, bed, and decor were all new and were the high points of the hotel. Still, the rate was way overpriced for such a small room. The best thing about the Allegro was the room service, which was prompt. The food was good, and the prices were very reasonable for room service. From now on, if my regular hotels are booked, I'll just take a cab farther out from the city because it just isn't worth it."
"(1, 2)",0.0,0,1,"It is always interesting going to a high quality Hotel. I cannot help but think about the service and the value. Maybe I have too high expectations. Certaintly the location is great and the swimming pool is really nice and the room was generally well appointed oh and the bed was great. But, the room was not well cleaned, a little smelly truthfully and they stole a watch that I left in the room. The hotel where immediately worried about there financial situation and not the service. I noticed here others on this site have lost stuff from this hotel. I know that this is always a possibility but really did not expect it at a hotel like this. Overall, Chicago exceeded my expectations but the intercontinental did not. Stay else where."
